Topic,Count,Name,Representation,Representative_Docs
-1,5787,-1_motor_learning_task_motor learning,"['motor', 'learning', 'task', 'motor learning', 'sep', 'control', 'performance', 'training', 'movement', 'practice']",
0,592,0_surgical_laparoscopic_skills_surgery,"['surgical', 'laparoscopic', 'skills', 'surgery', 'simulation', 'training', 'medical', 'students', 'residents', 'surgeons']",
1,544,1_adaptation_visuomotor_visual_errors,"['adaptation', 'visuomotor', 'visual', 'errors', 'force', 'error', 'implicit', 'feedback', 'rotation', 'hand']",
2,327,2_sleep_consolidation_memory_memory consolidation,"['sleep', 'consolidation', 'memory', 'memory consolidation', 'spindles', 'sleepdependent', 'nap', 'night', 'offline', 'spindle']",
3,270,3_players_sport_coaches_sports,"['players', 'sport', 'coaches', 'sports', 'soccer', 'constraints', 'games', 'development', 'ecological', 'youth']",
4,248,4_walking_splitbelt_treadmill_step,"['walking', 'splitbelt', 'treadmill', 'step', 'gait', 'locomotor', 'adaptation', 'splitbelt treadmill', 'step length', 'asymmetry']",
5,220,5_tdcs_stimulation_anodal_direct current,"['tdcs', 'stimulation', 'anodal', 'direct current', 'transcranial direct', 'current stimulation', 'direct', 'transcranial', 'sham', 'current']",
6,184,6_multisensory_auditory_audiovisual_stimuli,"['multisensory', 'auditory', 'audiovisual', 'stimuli', 'integration', 'multisensory integration', 'temporal', 'crossmodal', 'visual', 'unisensory']",
7,181,7_sequence_sequence learning_implicit_sequences,"['sequence', 'sequence learning', 'implicit', 'sequences', 'serial', 'explicit', 'learning', 'reaction', 'reaction time', 'adults']",
8,179,8_focus_external_external focus_focus attention,"['focus', 'external', 'external focus', 'focus attention', 'attention', 'internal focus', 'internal', 'attentional focus', 'attentional', 'instructions']",
9,173,9_stroke_recovery_rehabilitation_upper,"['stroke', 'recovery', 'rehabilitation', 'upper', 'therapy', 'function', 'patients', 'treatment', 'upper limb', 'limb']",
10,171,10_imagery_motor imagery_mi_mental,"['imagery', 'motor imagery', 'mi', 'mental', 'action', 'observation', 'action observation', 'ao', 'imagery training', 'physical']",
11,157,11_haptic_guidance_haptic guidance_robotic,"['haptic', 'guidance', 'haptic guidance', 'robotic', 'amplification', 'error amplification', 'error', 'feedback', 'training', 'ieee']",
12,157,12_song_vocal_songbirds_birds,"['song', 'vocal', 'songbirds', 'birds', 'vocal learning', 'song learning', 'zebra', 'hvc', 'neurons', 'finches']",
13,153,13_excitability_pas_motor cortex_plasticity,"['excitability', 'pas', 'motor cortex', 'plasticity', 'm1', 'tms', 'stimulation', 'cortex', 'sici', 'mep']",
14,140,14_pd_disease_patients_parkinsons,"['pd', 'disease', 'patients', 'parkinsons', 'parkinsons disease', 'sequence learning', 'sequence', 'controls', 'ad', 'pd patients']",
15,114,15_depression_synaptic_purkinje_longterm depression,"['depression', 'synaptic', 'purkinje', 'longterm depression', 'cell', 'longterm', 'cerebellar', 'synapses', 'parallel', 'ltp']",
16,113,16_contextual interference_contextual_interference_blocked,"['contextual interference', 'contextual', 'interference', 'blocked', 'random', 'practice', 'random practice', 'ci', 'schedule', 'interference effect']",
17,105,17_musical_musicians_music_pianists,"['musical', 'musicians', 'music', 'pianists', 'piano', 'nonmusicians', 'melodies', 'auditory', 'musical training', 'melody']",
18,104,18_virtual_vr_reality_rehabilitation,"['virtual', 'vr', 'reality', 'rehabilitation', 'virtual reality', 'stroke', 'vrbased', 'immersive', 'patients', 'environment']",
19,102,19_sequence_activation_sequences_activity,"['sequence', 'activation', 'sequences', 'activity', 'parietal', 'sequence learning', 'motor sequence', 'areas', 'cortex', 'regions']",
20,97,20_conditioning_eyeblink_conditioned_eyeblink conditioning,"['conditioning', 'eyeblink', 'conditioned', 'eyeblink conditioning', 'eyelid', 'cerebellar', 'cerebellum', 'crs', 'responses', 'cr']",
21,94,21_competence_children_motor competence_physical activity,"['competence', 'children', 'motor competence', 'physical activity', 'physical', 'perceived', 'gross', 'gross motor', 'skills', 'tgmd3']",
22,94,22_bci_mi_eeg_erd,"['bci', 'mi', 'eeg', 'erd', 'cortical', 'braincomputer', 'desynchronization', 'mrcp', 'imagery', 'brain']",
23,92,23_kr_knowledge results_knowledge_results kr,"['kr', 'knowledge results', 'knowledge', 'results kr', 'frequency', 'summary', 'bandwidth', 'retention', 'trials', 'results']",
24,91,24_pd_disease_parkinsons_parkinsons disease,"['pd', 'disease', 'parkinsons', 'parkinsons disease', 'gait', 'disease pd', 'patients', 'people', 'people pd', 'exercise']",
25,90,25_pain_neck_painful_muscle,"['pain', 'neck', 'painful', 'muscle', 'neck pain', 'pain motor', 'experimental pain', 'muscles', 'capsaicin', 'corticomotor']",
26,87,26_speech_auditory_auditory feedback_speech motor,"['speech', 'auditory', 'auditory feedback', 'speech motor', 'production', 'speech production', 'vowel', 'feedback', 'adaptation', 'formant']",
27,86,27_cognitive_exercise_older_physical,"['cognitive', 'exercise', 'older', 'physical', 'older adults', 'qmt', 'training', 'interventions', 'adults', 'cognition']",
28,85,28_cerebral palsy_palsy_cp_cerebral,"['cerebral palsy', 'palsy', 'cp', 'cerebral', 'children', 'therapy', 'infants', 'intensive', 'habitile', 'intervention']",
29,85,29_observational_observational learning_observation_mental,"['observational', 'observational learning', 'observation', 'mental', 'model', 'mental representation', 'physical practice', 'practice', 'modeling', 'demonstrations']",
30,84,30_infants_infant_development_preterm,"['infants', 'infant', 'development', 'preterm', 'reaching', 'object', 'play', 'infants born', 'born', 'exploration']",
31,80,31_vor_gain_vestibular_reflex,"['vor', 'gain', 'vestibular', 'reflex', 'vestibuloocular', 'vestibuloocular reflex', 'head', 'eye', 'vor gain', 'flocculus']",
32,80,32_robotic_rehabilitation_stroke_robotassisted,"['robotic', 'rehabilitation', 'stroke', 'robotassisted', 'upper', 'therapy', 'robots', 'gait', 'robot', 'devices']",
33,78,33_saccade_saccadic_saccades_adaptation,"['saccade', 'saccadic', 'saccades', 'adaptation', 'saccadic adaptation', 'target', 'eye', 'saccade adaptation', 'amplitude', 'gain']",
34,77,34_feedback_video_students_augmented,"['feedback', 'video', 'students', 'augmented', 'augmented feedback', 'group', 'video feedback', 'verbal feedback', 'verbal', 'education']",
35,76,35_acl_injury_acl injury_ligament,"['acl', 'injury', 'acl injury', 'ligament', 'cruciate', 'cruciate ligament', 'anterior cruciate', 'landing', 'risk', 'knee']",
36,73,36_skill acquisition_job_individual differences_cognitive,"['skill acquisition', 'job', 'individual differences', 'cognitive', 'acquisition', 'ability', 'skill', 'individual', 'abilities', 'cognitive ability']",
37,73,37_purkinje_mice_cerebellar_cells,"['purkinje', 'mice', 'cerebellar', 'cells', 'mouse', 'cell', 'purkinje cells', 'behaviors', 'gene', 'neurons']",
38,71,38_beta_alpha_power_eeg,"['beta', 'alpha', 'power', 'eeg', 'activity', 'theta', 'task', 'oscillations', 'dl', 'bimanual']",
39,66,39_pursuit_eye_saccade_spike,"['pursuit', 'eye', 'saccade', 'spike', 'cs', 'saccades', 'error', 'discharge', 'eye movements', 'cells']",
40,65,40_neurons_cortex_motor cortex_activity,"['neurons', 'cortex', 'motor cortex', 'activity', 'layer', 'm1', 'cortical', 'mice', 'motor', 'layer 23']",
41,65,41_coordination_degrees freedom_variability_freedom,"['coordination', 'degrees freedom', 'variability', 'freedom', 'degrees', 'movement', 'throwing', 'joint', 'motion', 'swing']",
42,63,42_mirror_mirror neuron_mirror neurons_action,"['mirror', 'mirror neuron', 'mirror neurons', 'action', 'actions', 'imitation', 'neuron', 'observation', 'mns', 'neurons']",
43,62,43_spines_spine_dendritic_dendritic spines,"['spines', 'spine', 'dendritic', 'dendritic spines', 'synapses', 'synaptic', 'dendritic spine', 'formation', 'pyramidal neurons', 'neurons']",
44,61,44_vr_virtual_reality_coembodiment,"['vr', 'virtual', 'reality', 'coembodiment', 'virtual reality', 'feedback', 'sports', 'real', 'avatar', 'teacher']",
45,57,45_connectivity_functional connectivity_restingstate_functional,"['connectivity', 'functional connectivity', 'restingstate', 'functional', 'brain', 'networks', 'network', 'resting', 'fc', 'resting state']",
46,56,46_climbing_fiber_cells_climbing fiber,"['climbing', 'fiber', 'cells', 'climbing fiber', 'purkinje', 'cerebellar', 'purkinje cells', 'fibers', 'climbing fibers', 'cell']",
