topic_id,words,scores
0,surgical | laparoscopic | skills | surgery | simulation | training | medical | students | residents | surgeons,0.0298 | 0.0224 | 0.0209 | 0.0198 | 0.0171 | 0.0151 | 0.0140 | 0.0135 | 0.0128 | 0.0116
1,adaptation | visuomotor | visual | errors | force | error | implicit | feedback | rotation | hand,0.0270 | 0.0141 | 0.0138 | 0.0125 | 0.0123 | 0.0119 | 0.0118 | 0.0114 | 0.0111 | 0.0108
2,sleep | consolidation | memory | memory consolidation | spindles | sleepdependent | nap | night | offline | spindle,0.0853 | 0.0358 | 0.0251 | 0.0227 | 0.0183 | 0.0181 | 0.0154 | 0.0146 | 0.0140 | 0.0137
3,players | sport | coaches | sports | soccer | constraints | games | development | ecological | youth,0.0289 | 0.0244 | 0.0242 | 0.0186 | 0.0172 | 0.0148 | 0.0148 | 0.0142 | 0.0135 | 0.0134
4,walking | splitbelt | treadmill | step | gait | locomotor | adaptation | splitbelt treadmill | step length | asymmetry,0.0459 | 0.0342 | 0.0305 | 0.0270 | 0.0264 | 0.0228 | 0.0214 | 0.0196 | 0.0184 | 0.0177
5,tdcs | stimulation | anodal | direct current | transcranial direct | current stimulation | direct | transcranial | sham | current,0.0593 | 0.0289 | 0.0269 | 0.0263 | 0.0254 | 0.0252 | 0.0223 | 0.0214 | 0.0209 | 0.0204
6,multisensory | auditory | audiovisual | stimuli | integration | multisensory integration | temporal | crossmodal | visual | unisensory,0.0892 | 0.0359 | 0.0328 | 0.0308 | 0.0298 | 0.0279 | 0.0260 | 0.0223 | 0.0213 | 0.0198
7,sequence | sequence learning | implicit | sequences | serial | explicit | learning | reaction | reaction time | adults,0.0404 | 0.0244 | 0.0211 | 0.0180 | 0.0167 | 0.0149 | 0.0143 | 0.0143 | 0.0139 | 0.0130
8,focus | external | external focus | focus attention | attention | internal focus | internal | attentional focus | attentional | instructions,0.0931 | 0.0551 | 0.0484 | 0.0440 | 0.0419 | 0.0374 | 0.0369 | 0.0329 | 0.0325 | 0.0265
9,stroke | recovery | rehabilitation | upper | therapy | function | patients | treatment | upper limb | limb,0.0307 | 0.0221 | 0.0196 | 0.0168 | 0.0164 | 0.0133 | 0.0132 | 0.0126 | 0.0122 | 0.0106
10,imagery | motor imagery | mi | mental | action | observation | action observation | ao | imagery training | physical,0.0668 | 0.0461 | 0.0368 | 0.0251 | 0.0224 | 0.0184 | 0.0179 | 0.0155 | 0.0150 | 0.0132
11,haptic | guidance | haptic guidance | robotic | amplification | error amplification | error | feedback | training | ieee,0.0518 | 0.0366 | 0.0247 | 0.0196 | 0.0143 | 0.0139 | 0.0136 | 0.0126 | 0.0126 | 0.0120
12,song | vocal | songbirds | birds | vocal learning | song learning | zebra | hvc | neurons | finches,0.1060 | 0.0587 | 0.0309 | 0.0308 | 0.0290 | 0.0286 | 0.0259 | 0.0237 | 0.0237 | 0.0218
13,excitability | pas | motor cortex | plasticity | m1 | tms | stimulation | cortex | sici | mep,0.0276 | 0.0251 | 0.0179 | 0.0166 | 0.0163 | 0.0153 | 0.0153 | 0.0144 | 0.0141 | 0.0141
14,pd | disease | patients | parkinsons | parkinsons disease | sequence learning | sequence | controls | ad | pd patients,0.0423 | 0.0340 | 0.0284 | 0.0277 | 0.0269 | 0.0151 | 0.0147 | 0.0145 | 0.0143 | 0.0131
15,depression | synaptic | purkinje | longterm depression | cell | longterm | cerebellar | synapses | parallel | ltp,0.0373 | 0.0345 | 0.0343 | 0.0340 | 0.0338 | 0.0333 | 0.0322 | 0.0294 | 0.0284 | 0.0261
16,contextual interference | contextual | interference | blocked | random | practice | random practice | ci | schedule | interference effect,0.0649 | 0.0606 | 0.0493 | 0.0483 | 0.0466 | 0.0316 | 0.0310 | 0.0295 | 0.0253 | 0.0242
17,musical | musicians | music | pianists | piano | nonmusicians | melodies | auditory | musical training | melody,0.0417 | 0.0416 | 0.0315 | 0.0235 | 0.0225 | 0.0196 | 0.0195 | 0.0189 | 0.0170 | 0.0141
18,virtual | vr | reality | rehabilitation | virtual reality | stroke | vrbased | immersive | patients | environment,0.0391 | 0.0351 | 0.0272 | 0.0263 | 0.0247 | 0.0160 | 0.0150 | 0.0145 | 0.0122 | 0.0109
19,sequence | activation | sequences | activity | parietal | sequence learning | motor sequence | areas | cortex | regions,0.0233 | 0.0189 | 0.0144 | 0.0142 | 0.0138 | 0.0131 | 0.0131 | 0.0130 | 0.0122 | 0.0120
20,conditioning | eyeblink | conditioned | eyeblink conditioning | eyelid | cerebellar | cerebellum | crs | responses | cr,0.0646 | 0.0626 | 0.0516 | 0.0441 | 0.0349 | 0.0320 | 0.0257 | 0.0251 | 0.0248 | 0.0223
21,competence | children | motor competence | physical activity | physical | perceived | gross | gross motor | skills | tgmd3,0.0535 | 0.0355 | 0.0322 | 0.0275 | 0.0260 | 0.0254 | 0.0233 | 0.0211 | 0.0205 | 0.0197
22,bci | mi | eeg | erd | cortical | braincomputer | desynchronization | mrcp | imagery | brain,0.0269 | 0.0266 | 0.0231 | 0.0211 | 0.0161 | 0.0158 | 0.0155 | 0.0152 | 0.0151 | 0.0142
23,kr | knowledge results | knowledge | results kr | frequency | summary | bandwidth | retention | trials | results,0.1440 | 0.0539 | 0.0329 | 0.0301 | 0.0254 | 0.0237 | 0.0235 | 0.0220 | 0.0202 | 0.0200
24,pd | disease | parkinsons | parkinsons disease | gait | disease pd | patients | people | people pd | exercise,0.0488 | 0.0385 | 0.0366 | 0.0360 | 0.0180 | 0.0167 | 0.0161 | 0.0158 | 0.0148 | 0.0147
25,pain | neck | painful | muscle | neck pain | pain motor | experimental pain | muscles | capsaicin | corticomotor,0.1165 | 0.0234 | 0.0160 | 0.0144 | 0.0140 | 0.0138 | 0.0134 | 0.0126 | 0.0120 | 0.0102
26,speech | auditory | auditory feedback | speech motor | production | speech production | vowel | feedback | adaptation | formant,0.0933 | 0.0470 | 0.0382 | 0.0365 | 0.0320 | 0.0246 | 0.0225 | 0.0203 | 0.0199 | 0.0195
27,cognitive | exercise | older | physical | older adults | qmt | training | interventions | adults | cognition,0.0324 | 0.0229 | 0.0210 | 0.0195 | 0.0188 | 0.0173 | 0.0169 | 0.0158 | 0.0145 | 0.0134
28,cerebral palsy | palsy | cp | cerebral | children | therapy | infants | intensive | habitile | intervention,0.0404 | 0.0403 | 0.0386 | 0.0348 | 0.0304 | 0.0265 | 0.0250 | 0.0209 | 0.0192 | 0.0185
29,observational | observational learning | observation | mental | model | mental representation | physical practice | practice | modeling | demonstrations,0.0348 | 0.0227 | 0.0225 | 0.0220 | 0.0219 | 0.0218 | 0.0200 | 0.0193 | 0.0189 | 0.0183
30,infants | infant | development | preterm | reaching | object | play | infants born | born | exploration,0.0945 | 0.0257 | 0.0229 | 0.0216 | 0.0208 | 0.0185 | 0.0184 | 0.0181 | 0.0169 | 0.0153
31,vor | gain | vestibular | reflex | vestibuloocular | vestibuloocular reflex | head | eye | vor gain | flocculus,0.1049 | 0.0544 | 0.0440 | 0.0426 | 0.0410 | 0.0395 | 0.0394 | 0.0299 | 0.0283 | 0.0239
32,robotic | rehabilitation | stroke | robotassisted | upper | therapy | robots | gait | robot | devices,0.0350 | 0.0263 | 0.0237 | 0.0199 | 0.0184 | 0.0182 | 0.0161 | 0.0159 | 0.0158 | 0.0156
33,saccade | saccadic | saccades | adaptation | saccadic adaptation | target | eye | saccade adaptation | amplitude | gain,0.0918 | 0.0688 | 0.0626 | 0.0496 | 0.0410 | 0.0304 | 0.0284 | 0.0274 | 0.0245 | 0.0223
34,feedback | video | students | augmented | augmented feedback | group | video feedback | verbal feedback | verbal | education,0.0369 | 0.0214 | 0.0204 | 0.0150 | 0.0132 | 0.0122 | 0.0121 | 0.0121 | 0.0119 | 0.0119
35,acl | injury | acl injury | ligament | cruciate | cruciate ligament | anterior cruciate | landing | risk | knee,0.0539 | 0.0454 | 0.0363 | 0.0290 | 0.0284 | 0.0284 | 0.0284 | 0.0264 | 0.0258 | 0.0250
36,skill acquisition | job | individual differences | cognitive | acquisition | ability | skill | individual | abilities | cognitive ability,0.0281 | 0.0274 | 0.0222 | 0.0217 | 0.0215 | 0.0213 | 0.0211 | 0.0192 | 0.0180 | 0.0177
37,purkinje | mice | cerebellar | cells | mouse | cell | purkinje cells | behaviors | gene | neurons,0.0399 | 0.0348 | 0.0315 | 0.0305 | 0.0255 | 0.0252 | 0.0245 | 0.0225 | 0.0210 | 0.0207
38,beta | alpha | power | eeg | activity | theta | task | oscillations | dl | bimanual,0.0398 | 0.0291 | 0.0281 | 0.0274 | 0.0147 | 0.0146 | 0.0133 | 0.0128 | 0.0122 | 0.0120
39,pursuit | eye | saccade | spike | cs | saccades | error | discharge | eye movements | cells,0.0341 | 0.0331 | 0.0314 | 0.0299 | 0.0288 | 0.0268 | 0.0224 | 0.0217 | 0.0212 | 0.0199
40,neurons | cortex | motor cortex | activity | layer | m1 | cortical | mice | motor | layer 23,0.0336 | 0.0261 | 0.0246 | 0.0246 | 0.0231 | 0.0193 | 0.0161 | 0.0157 | 0.0147 | 0.0141
41,coordination | degrees freedom | variability | freedom | degrees | movement | throwing | joint | motion | swing,0.0353 | 0.0191 | 0.0188 | 0.0186 | 0.0166 | 0.0154 | 0.0140 | 0.0139 | 0.0129 | 0.0124
42,mirror | mirror neuron | mirror neurons | action | actions | imitation | neuron | observation | mns | neurons,0.0790 | 0.0400 | 0.0346 | 0.0343 | 0.0340 | 0.0328 | 0.0313 | 0.0297 | 0.0243 | 0.0176
43,spines | spine | dendritic | dendritic spines | synapses | synaptic | dendritic spine | formation | pyramidal neurons | neurons,0.0803 | 0.0646 | 0.0598 | 0.0374 | 0.0324 | 0.0318 | 0.0252 | 0.0238 | 0.0218 | 0.0210
44,vr | virtual | reality | coembodiment | virtual reality | feedback | sports | real | avatar | teacher,0.0439 | 0.0428 | 0.0394 | 0.0297 | 0.0277 | 0.0151 | 0.0146 | 0.0143 | 0.0141 | 0.0137
45,connectivity | functional connectivity | restingstate | functional | brain | networks | network | resting | fc | resting state,0.0515 | 0.0365 | 0.0304 | 0.0296 | 0.0237 | 0.0219 | 0.0217 | 0.0217 | 0.0194 | 0.0185
46,climbing | fiber | cells | climbing fiber | purkinje | cerebellar | purkinje cells | fibers | climbing fibers | cell,0.0646 | 0.0483 | 0.0403 | 0.0400 | 0.0382 | 0.0382 | 0.0316 | 0.0285 | 0.0255 | 0.0253
